project_number,proposed_type,confidence,notes
25018032.1,Residential – Remodel / Addition,High,APPLIED
25043050,Residential – Remodel / Addition,High,APPLIED
25097072,Residential – Remodel / Addition,High,APPLIED
25098044,Residential – Remodel / Addition,High,APPLIED
25103092,Residential – Remodel / Addition,High,
25121033,Residential – Remodel / Addition,High,Sheldon Residence Covered Patio
25149094,Residential – Remodel / Addition,High,Graves Residence Remodel
25166060,Residential – Remodel / Addition,High,Lara Residence Remodel
25168032,Residential – Remodel / Addition,High,Calle Ventura Dormer Project
25171011,Residential – Remodel / Addition,High,Craven Residence Patio
25171011.1,Residential – Remodel / Addition,High,Craven Residence Patio SSI
25176144,Residential – Remodel / Addition,High,Benson Residence Remodel
25210111,Residential – Remodel / Addition,High,Laurel Lane Residential Remodel
4Line Gilbert Christian Remodel,Religious,High,Confirmed by Michael
240043,Residential – Single-Family,High,Coss Residence
25020011,Residential – Single-Family,High,Bagby Residence
25041011,Residential – Single-Family,High,McDougall Residence
25053031,Residential – Single-Family,Medium,Kirkwood Residence
25129061,Residential – Single-Family,High,Clouse Residence
25138051,Residential – Single-Family,High,Stanley Residence
25143089,Residential – Single-Family,High,Kretchmer Residence Cabin
25195108,Residential – Single-Family,Medium,Johnson Residence
25213061,Residential – Single-Family,Medium,Weinberger Residence
25157089,Residential – Single-Family,High,Griffith Residence Pods - confirmed by Michael
240044,Residential – Multi‑Family,High,Wailea Hotel Remodel
25007029,Residential – Multi‑Family,High,Williams Four Points Hotel Conversion
25128088,Residential – Multi‑Family,High,Heartland Suite 105 hotel - confirmed by Michael
25154001,Residential – Multi‑Family,High,Studio Res by Marriott
25198019,Residential – Multi‑Family,High,Double Tree
25198019.1,Residential – Multi‑Family,High,DoubleTree Hanging Partition Add Service
25202004,Existing Building / Assessment,Medium,Legacy Hotel Structural Observation Report
25207019,Residential – Multi‑Family,High,Apache Bldg Apartments
25038031.1,Religious,High,Antioch Church
25126087,Religious,High,Grace Bible Church
25178088,Religious,High,MT Baptist Church
25201031,Religious,High,City of Grace Church Renovation
25206031,Religious,High,Vineyard Church
25052001,Education,High,Faith Christian school - confirmed by Michael
25116061,Restaurant,High,Jinya TI Queen Creek
25133033,Restaurant,High,Roma Pizzeria
25147049,Restaurant,High,Potbelly TI
25151049,Restaurant,High,Project Lean Nation
25159020,Restaurant,High,Restaurant Tenant Mech'l T.I. Chandler
25180057,Restaurant,High,Kungfu Noodle Restaurant T.I.
25181057,Restaurant,High,Korean BBQ T.I.
25216061,Restaurant,High,Jinya TI Tempe
25131061,Storage,High,Microchip Storage
25190049,Storage,High,Carefree Highway Self Storage
25197112,Storage,High,SRPMIC Landscape Storage MEP
25006001,Industrial,Medium,Crash Champions Body Shop
25008019,Industrial,High,Triax Industries
25101049,Industrial,High,Emerald Industrial Building Suite 5
25109080,Industrial,Medium,Missouri Central Plant Upgrades
25130031,Industrial,Medium,Ironwood Phase 2
25108057,PEMB,High,Gardel Metal Building
25177102,PEMB,Medium,Garmak Modular Building Foundations
25192033,PEMB,High,Sunstate Companies PEMB
24-0040,Commercial – TI,High,Phoenix Retail at Miller and Southern
240040,Commercial – TI,High,Miller Marketplace
240042,Commercial – TI,Medium,Club Valencia Repairs
25045049,Commercial – TI,High,Beach Club Wylie
25073049,Commercial – TI,High,Prologis RediCarpet TI
25085049,Commercial – TI,High,Beach Club Denton County
25104049,Commercial – TI,High,Beach Club City of Denton
